,diffrn_ambient_temp
0,
1,
13,
51,
52,
53,
54,
55,
66,
87,
92,
95,
96,
101,
102,
103,
106,
107,
108,
110,
112,
113,
114,
115,
117,
118,
119,
121,
122,
123,
128,
129,
130,
151,
152,
153,
155,
156,
157,
158,
159,
163,
164,
165,
166,
168,
171,
172,
173,
174,
175,
176,
177,
178,
185,
186,
187,
188,
198,
199,
201,
206,
213,
214,
215,
219,
221,
228,
236,
262,
263,
282,
283,
284,
285,
289,
290,
294,
296,
297,
298,
300,
301,
302,
303,
312,
315,
319,
333,
337,
343,
344,
358,
359,
362,
365,
366,
367,
378,
382,
387,
390,
394,
409,
410,
411,
425,
427,
431,
441,
443,
444,
446,
447,
448,
449,
450,
452,
453,
454,
456,
458,
459,
460,
461,
462,
463,
464,
465,
468,
473,
477,
478,
479,
480,
481,
482,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
496,
497,
499,
