,Pdb Code
455,5IV8
456,5IVA
457,7OMM
458,5FQ8
459,6ZAZ
460,6SLJ
461,5WQ7
462,5WQ8
463,6HCG
464,7OFH
465,5TCR
466,6SCN
467,6XFJ
468,7AGX
469,7FEB
470,6F2D
471,6DUZ
472,6Q15
473,6RWK
474,8AXK
475,6S3S
476,6S3R
477,7KHW
478,7K7K
479,7QIJ
480,3JQO
481,6ODJ
482,8DOL
483,6W6M
484,6X62
485,6VE2
486,7OKN
487,7SPB
488,6N38
489,6SJL
490,8GI1
491,6H3I
492,5WC3
493,6CB8
494,6VFE
495,8ET2
496,8GTN
497,2WCD
498,6GRJ
499,7A0G
500,5KUD
501,3LIM
502,4TSY
503,2YMK
504,4O9Y
505,5LKH
506,6SUF
507,4CDB
508,6GY6
509,6NYF
510,6ODY
511,7KIY
512,6YRF
513,4P6J
514,6B87
515,6MQU
516,6TJ1
517,5G1J
518,6LEO
519,7P54
520,7RTT
521,7N0K
522,7N7P
523,7F3T
524,7F6V
525,7MYZ
526,7FH1
527,6WVD
528,7T6D
529,7WJT
530,5UW8
531,6XGY
532,6XBD
533,6ZY2
534,7CGE
535,7D06
536,7CH9
537,2J58
538,2VQG
539,5NUO
540,2MMU
541,6S1K
542,7NB6
543,7OT9
544,6WVG
545,5TCX
546,7JIC
547,6K4J
548,6VJA
549,1YGM
550,2CPB
551,1PJF
552,2KSJ
553,1MZT
554,1FDM
555,5JYN
556,1AFO
557,2KPF
558,5EH4
559,6HJR
560,6Y5G
561,5KTF
562,2MIC
563,7K7A
564,7RFP
565,7WSO
566,7XT6
567,7XQ8
568,2MFR
569,7YQ6
570,2JWA
571,2N2A
572,2KS1
573,5LV6
574,2L9U
575,2LCX
576,2K1L
577,2K9Y
578,2LZL
579,2M59
580,2KNC
581,7KN0
582,3WXV
583,5LXG
584,6KRZ
585,6YX9
586,6HG4
587,7UWJ
588,7C76
589,7C77
590,5HK1
591,7W2B
592,7M93
593,5SY1
594,2BRD
595,1AT9
596,1AP9
597,1BRR
598,1BRX
599,1R84
600,1QKP
601,1M0K
602,1KG8
603,1QHJ
604,1C3W
605,1C8R
606,3NS0
607,3T45
608,4FPD
609,4X31
610,5B35
611,5B6V
612,6G7H
613,5ZIL
614,6RQO
615,6GA1
616,7VSO
617,7Z09
618,7XJC
619,4QI1
620,5ITE
621,1E12
622,7Q38
623,3A7K
624,7ZOU
625,6K6I
626,1XIO
627,2M3G
628,1JGJ
629,1H68
630,1H2S
631,2KSY
632,3QDC
633,1UAZ
634,1VGO
635,2EI4
636,3WQJ
637,6GUX
638,6GUZ
639,3DDL
640,3AM6
641,3UG9
642,4YZI
643,7C86
644,6CSN
645,6EID
646,6CSM
647,6EDQ
648,7L1E
649,5ZIH
650,2L6X
651,7B03
652,4HYJ
653,4JQ6
654,4KLY
655,4L35
656,3X3B
657,6REX
658,6XYT
659,4XTL
660,6TK7
661,5AZD
662,6IS6
663,7U55
664,6SU3
665,6SQG
666,5G28
667,7CRJ
668,6JYE
669,7VGT
670,7O8F
671,7CJ3
672,6LM0
673,6LM1
674,7AKX
675,7BMH
676,7PL9
677,7W74
678,7E4G
679,6GYH
680,6NWD
681,6XL3
682,7SFK
683,7W9W
684,6R3Q
685,2KSD
686,2KSE
687,2KSF
688,5IJI
689,6XYN
690,6YUE
691,6JXR
692,2HAC
693,7FJD
694,2L35
695,4WOL
696,7VU5
697,3HD7
698,2KOG
699,2M8R
700,6MTI
701,6XM1
702,7BV6
703,7UDB
704,7KP4
705,7TDM
706,6OV2
707,4P79
708,3X29
709,4WIS
710,6QM9
711,6OY3
712,5NL2
713,5OYB
714,6BGI
715,7B5C
716,6E0H
717,6QPC
718,6P46
719,8B8G
720,6R7X
721,7P14
722,7DCE
723,1RHZ
724,2YXR
725,3MP7
726,3DIN
727,5EUL
728,6ITC
729,6R7L
730,2ZJS
731,5AWW
732,3JC2
733,6Z3T
