,refine_ls_rfactor_rwork,refine_ls_rfactor_rfree_error,refine_ls_rfactor_rfree,refine_ls_wrfactor_rwork,refine_ls_wrfactor_rfree,refine_occupancy_max,refine_occupancy_min
230,0.25399,,0.29352,,,,
231,0.2132,,0.2603,0.208,0.265,,
232,0.2212,,0.2679,,,,
233,0.213,,0.248,,,1.0,0.5
234,0.1922,,0.2525,,,,
235,0.2131,,0.2531,,,,
237,0.19345,,0.22241,,,,
238,0.2075,,0.2611,,,,
239,0.16708,,0.1867,,,,
240,0.22151,,0.25928,,,,
241,0.20001,,0.23362,,,,
242,0.2241,,0.2573,,,,
243,0.2476,,0.3154,,,,
244,0.1956,,0.2259,,,,
245,0.2165,,0.266,,,,
246,0.2141,,0.2671,,,,
247,0.2334,,0.2951,,,,
248,0.1813,,0.2007,,,,
249,0.2254,,0.2805,,,,
250,0.1833,,0.1978,,,,
251,0.2124,,0.2491,,,,
252,0.2154,,0.2787,,,,
253,0.203,,0.242,,,,
254,0.22,,0.275,0.22,0.275,1.0,1.0
255,0.19035,,0.2203,,,,
256,0.23703,,0.28424,,,,
257,0.16815,,0.19144,,,,
258,0.20665,,0.24782,,,,
259,0.208,,0.257,,,,
260,0.26376,,0.30473,,,,
261,0.266,,0.315,,,,
264,0.2097,,0.2432,,,1.0,0.47
265,0.1887,,0.22119,,,,
266,0.25235,,0.30772,,,,
267,0.23583,,0.2932,,,,
268,0.23154,,0.27189,,,,
269,0.26861,,0.30744,,,,
270,0.2096,,0.2751,,,,
271,0.1972,,0.2428,,,,
272,0.2139,,0.25,,,1.0,1.0
273,0.1943,,0.23154,,,,
274,0.244,,0.293,,,,
275,0.18871,,0.22456,,,,
276,0.196,,0.251,,,,
277,0.24973,,0.31535,,,,
278,0.219,,0.248,0.238,0.276,1.0,0.6
279,0.18781,,0.24929,,,,
280,0.189,,0.235,,,,
281,0.155,,0.198,,,,
286,0.238,,0.28,,,,
287,0.196,,0.209,,,,
288,0.292,,0.314,,,,
291,0.23258,,0.27806,,,,
292,0.18853,,0.22879,,,,
293,0.1913,,0.2688,,,,
295,0.204,,0.246,,,,
299,0.1985,,0.2284,,,,
302,0.196,,0.234,,,1.0,0.0
303,0.221,0.007,0.27,,,,
304,0.222,0.01,0.298,,,,
305,0.222,,0.268,,,,
306,0.235,,0.274,,,,
307,0.224,,0.272,,,,
308,0.22514,,0.25791,,,,
309,0.19354,,0.22963,,,,
310,0.198,,0.233,,,,
311,0.1907,,0.22959,,,,
313,0.21648,,0.25546,,,,
314,0.17147,,0.20817,,,,
315,0.257,0.007,0.301,,,1.0,1.0
316,0.239,,0.289,,,1.0,0.5
317,0.2164,,0.2599,,,,
318,0.213,,0.253,,,1.0,1.0
320,0.21892,,0.25843,,,,
321,0.253,,0.291,,,,
322,0.268,,0.28,,,,
323,0.262,0.004,0.288,,,1.0,1.0
324,0.186,0.007,0.244,,,,
325,0.242,0.006,0.283,,,,
326,0.221,0.006,0.271,,,,
327,0.222,0.008,0.283,,,,
328,0.233,0.007,0.275,,,,
329,0.284,,0.329,,,,
330,0.212,,0.255,,,,
331,0.2532,,0.3074,,,,
332,0.22697,,0.24381,,,,
333,0.2362,,0.282,,,,
334,0.1748,,0.2201,,,,
335,0.207,0.005,0.245,,,,
336,0.223,0.006,0.259,,,,
338,0.18843,,0.21058,,,,
339,0.22253,,0.24911,,,,
340,0.15668,,0.18092,,,,
341,0.26259,,0.31861,,,,
342,0.22745,,0.25795,,,,
343,0.2389,,0.2739,,,,
344,0.23736,,0.28581,,,,
345,0.222,,0.242,,,,
346,0.21419,,0.2588,,,,
347,0.259,,0.288,,,,
348,0.2077,,0.24724,,,,
349,0.24412,,0.28522,,,,
350,0.2212,,0.2591,,,,
351,0.1633,,0.2086,,,,
352,0.2506,,0.287,,,,
353,0.2154,,0.2535,,,,
354,0.2593,0.006,0.2958,,,,
355,0.2853,,0.359,,,,
356,0.22274,,0.28181,,,,
357,0.2477,,0.2986,,,,
360,0.2081,,0.2667,,,,
361,0.24481,,0.27905,,,,
363,0.29661,,0.34903,,,,
364,0.236,,0.2783,,,,
368,0.21834,,0.271,,,,
369,0.21332,,0.26645,,,,
370,0.24183,,0.29639,,,,
371,0.206,,0.235,,,,
372,0.277,,0.3142,,,,
373,0.19864,,0.23076,,,,
374,0.21881,,0.26285,,,,
375,0.1641,,0.1831,,,,
376,0.2704,,0.3047,,,,
377,0.2807,,0.3169,,,1.0,1.0
379,0.2205,,0.2531,,,,
380,0.228,,0.285,,,,
381,0.193,,0.215,,,,
382,0.25825,,0.28424,,,,
383,0.1988,,0.2374,,,1.0,0.41
384,0.18839,,0.23134,,,,
385,0.24777,,0.30639,,,,
386,0.17461,,0.22179,,,,
387,0.20315,,0.24262,,,,
388,0.204,,0.255,,,1.0,1.0
389,0.19644,,0.2186,,,,
390,0.175,,0.233,,,1.0,0.27
391,0.247,,0.296,,,,
392,0.188,,0.2596,,,1.0,1.0
393,0.224,,0.274,,,,
395,0.1898,,0.217,,,,
396,0.2084,,0.2446,,,,
397,0.266,,0.324,,,,
398,0.2081,,0.257,,,,
399,0.2478,,0.2641,,,,
400,0.184,,0.2171,,,,
401,0.2218,,0.2793,,,,
402,0.35,0.011,0.38,,,,
403,0.19996,,0.23837,,,,
404,0.195,,0.245,,,,
405,0.205,,0.2534,,,1.0,1.0
406,0.2327,,0.2494,,,,
407,0.232,,0.2779,,,,
408,0.2195,,0.2704,,,,
409,0.263,,0.329,,,,
410,0.267,,0.295,,,,
412,0.2115,,0.2603,,,1.0,1.0
413,0.1466,,0.1886,,,,
414,0.2335,,0.292,,,,
415,0.26901,,0.29779,,,,
416,0.189,,0.2301,,,,
417,0.1833,,0.2044,,,1.0,0.0
418,0.19526,,0.23303,,,,
419,0.1633,,0.1925,,,,
420,0.21072,,0.26987,,,,
421,0.1722,,0.2316,,,,
422,0.1808,,0.231,,,,
423,0.19479,,0.2343,,,,
424,0.14643,,0.18387,,,,
426,0.16085,,0.18321,,,,
427,0.1687,,0.2097,,,,
428,0.19831,,0.23262,,,,
429,0.2162,,0.2613,,,,
430,0.2355,,0.2862,,,,
432,0.18121,,0.22859,,,,
433,0.1985,,0.24,,,,
434,0.177,,0.243,,,,
435,0.2382,,0.2811,,,,
436,0.2063,,0.2633,,,,
437,0.2109,,0.2318,,,,
438,0.2762,,0.3041,,,,
439,0.2711,,0.3141,,,,
440,0.1746,,0.1966,,,,
442,0.281,,0.317,,,,
445,0.2428,,0.2844,,,,
451,0.325,,0.3873,,,,
454,0.242,,0.277,0.266,0.298,1.0,0.5
455,0.2037,,0.2611,,,,
456,0.2565,,0.287,,,,
457,0.2455,,0.2822,,,,
466,0.28535,,0.30508,,,,
467,0.1863,,0.2307,,,,
468,0.226,,0.2491,,,,
469,0.232,,0.2831,,,,
470,0.2122,,0.2608,,,,
471,0.235,,0.2839,,,,
472,0.2479,,0.2954,,,,
474,0.2052,,0.2592,,,,
475,0.2083,,0.2753,,,,
476,0.2217,,0.2952,,,,
483,0.1323,,0.168,,,,
495,0.3054,,0.3248,,,,
496,0.22725,,0.25935,,,,
498,0.197,,0.2469,,,,
