,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a
167,90.0,90.0,90.0,52.588
469,90.0,90.0,120.0,143.972
296,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
474,111.41,98.33,98.51,92.11
198,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
297,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
416,90.0,102.92,90.0,56.406
146,90.0,90.0,90.0,62.581
392,90.0,90.0,90.0,79.404
147,90.0,90.0,90.0,139.097
447,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
287,90.0,90.0,120.0,140.341
123,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
368,90.0,90.71,90.0,137.274
96,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
143,90.0,103.26,90.0,135.497
239,90.0,117.89,90.0,146.884
442,90.0,102.61,90.0,158.84
97,90.0,90.0,120.0,176.516
407,90.0,90.0,90.0,59.525
122,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
183,90.0,90.0,120.0,107.25
202,90.0,90.0,90.0,137.548
246,90.0,90.0,90.0,99.93
305,90.0,90.0,120.0,78.168
298,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
351,90.0,101.56,90.0,57.253
386,90.0,117.75,90.0,73.011
395,90.0,90.0,90.0,77.47
284,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
125,90.0,116.19,90.0,108.017
302,90.0,90.0,120.0,166.98
223,90.0,90.0,90.0,129.66
418,90.0,90.0,90.0,101.71
219,90.0,90.0,120.0,119.9
129,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
420,90.0,90.0,90.0,101.841
289,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
444,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
376,90.0,90.0,90.0,101.34
291,90.0,119.7,90.0,145.774
355,90.0,90.0,90.0,120.036
294,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
396,90.0,101.44,90.0,87.794
340,90.0,90.0,90.0,86.12
