,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a
0,0.3666989820649542,0.5108406770177648,0.47414548641542487,0.07039688200529853
1,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.1403776917328986
2,0.3666989820649542,0.6572947265351797,0.47414548641542487,0.10796651042728075
3,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.4056747163915494
4,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.6429547924733373
5,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.2781145981930575
6,0.3711035207501183,0.4335863818614699,0.5853915713810136,0.33500054063285983
7,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.2263433190679981
8,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.291025575708172
9,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.20704690578085727
10,0.3666989820649542,0.4175409148132606,0.47414548641542487,0.3102752870049589
11,0.6745031507513333,0.42369562176528175,0.9684487291849255,0.07148376468989878
12,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.37082654031655454
13,0.3666989820649542,0.45614771296684864,0.47414548641542487,0.4829537735208206
14,0.3711035207501183,0.4335863818614699,0.5853915713810136,0.33500054063285983
15,0.3666989820649542,0.4438382990628059,0.47414548641542487,0.1501256708104069
16,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.2214056449969431
17,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.2585167447863596
18,0.3711035207501183,0.4335863818614699,0.5853915713810136,0.33500054063285983
19,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.3440662998437606
20,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.4023164187215542
21,0.3711035207501183,0.4335863818614699,0.5853915713810136,0.33500054063285983
22,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.5780560084233407
23,0.3711035207501183,0.4335863818614699,0.5853915713810136,0.33500054063285983
24,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.2320494531621493
25,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.2429819645404524
26,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.08695486040350517
27,0.3666989820649542,0.3836900265771436,0.9999999999999998,0.20197337137422727
28,0.3666989820649542,0.3836900265771436,0.47414548641542487,0.47678486515861684
