,bibliography_year,cell_angle_gamma,cell_angle_beta,Resolution
200,2018,90.0,90.0,2.85
201,2012,90.0,90.0,2.79
202,2018,90.0,90.0,2.3
203,2018,120.0,90.0,1.5
204,2006,90.0,90.0,2.0
205,2011,120.0,90.0,2.50
206,2021,,,2.56
207,2018,90.0,112.18,1.65
208,2018,120.0,90.0,2.47
209,2016,90.0,91.01,1.45
210,2006,90.0,104.06,2.3
211,2006,74.3,73.4,2.3
212,2010,90.0,90.0,2.18
213,2007,,,NMR Structure (DPC micelles)
214,2017,,,solid-state NMR structure
215,2019,,,NMR Structure
216,2018,90.0,96.74,3.2
217,2018,90.0,90.0,2.22
218,2018,90.0,102.32,1.55
219,1992,120.0,90.0,3.0
220,1997,90.0,90.0,2.4
221,1995,90.0,90.0,3.1
222,1996,90.0,90.0,2.6
223,1997,90.0,90.0,2.4
224,1998,120.0,90.0,2.4
225,2004,90.0,90.0,2.5
226,2012,120.0,90.0,2.70
227,2015,120.0,90.0,1.52
228,2007,90.0,99.49,1.9
229,2010,120.0,90.0,2.30
230,2014,120.0,90.0,3.32
231,2021,120.0,90.0,2.76
232,2013,90.0,102.07,3.20
233,2014,90.0,106.8,2.10
234,2015,90.0,97.97,2.51
235,2015,90.0,90.0,2.30
236,2015,,,NMR structure
237,2016,120.0,90.0,2.1
238,2018,90.0,131.0,3.2
239,2018,90.0,117.89,1.95
240,2017,90.0,96.29,2.5
241,2019,90.0,90.0,2.2
242,2020,90.0,90.0,2.70
243,2007,90.0,119.63,2.9
244,2012,90.0,107.68,2.15
245,2012,62.95,62.57,2.80
246,2012,90.0,90.0,2.70
247,2008,90.0,90.0,2.8
248,2012,90.0,90.0,1.65
249,2012,90.0,99.09,2.30
250,2012,90.0,91.6,1.45
251,2012,90.0,90.0,2.10
252,2012,90.0,90.0,2.60
253,2012,70.04,81.5,2.35
254,2010,90.0,97.76,2.60
255,2016,120.0,90.0,2.05
256,2016,120.0,90.0,2.9
257,2016,90.0,90.0,1.75
258,2016,90.0,90.0,2.2
259,2000,120.0,90.0,2.1
260,2004,120.0,90.0,2.75
261,2008,90.0,90.0,3.2
262,2022,,,3.09
263,2021,,,3.20
264,2014,90.0,90.0,2.37
265,2005,120.0,90.0,1.8
266,2004,120.0,90.0,2.56
267,2010,90.0,90.0,2.40
268,2016,120.0,90.0,1.69
269,2016,90.0,90.0,3.10
270,2015,90.0,90.0,2.98
271,2011,120.0,90.0,2.30
272,2014,120.0,90.0,2.09
273,2003,120.0,90.0,2.0
274,2003,90.0,90.0,2.75
275,2006,90.0,90.0,1.95
276,2006,90.0,90.0,2.1
277,2007,90.0,90.0,3.50
278,2010,120.0,90.0,2.44
279,2007,90.0,101.22,2.5
280,1998,90.0,91.52,2.50
281,2000,90.0,94.3,1.60
282,2001,,,NMR Structure
283,2006,,,NMR structure
284,2007,,,NMR Structure
285,2009,,,NMR Structure
286,2001,120.0,90.0,2.6
287,2010,120.0,90.0,1.90
288,2006,90.0,90.0,2.7
289,2014,,,NMR structure
290,2020,,,NMR structure
291,2015,90.0,119.7,2.70
292,2015,90.0,95.79,1.6
293,2010,90.0,90.0,2.4
294,2011,,,NMR Structure
295,1999,120.0,90.0,1.9
296,2001,,,NMR (DHPC micelles)
297,2004,,,"NMR (DPC micelles, with H-bond constraints)"
298,2013,,,NMR Structure
299,2011,90.0,90.0,1.80
300,2015,,,NMR structure
301,2017,,,NMR structure
302,2009,120.0,90.0,2.8
303,1999,120.0,90.0,2.17
304,2001,120.0,90.0,2.60
305,2001,120.0,90.0,2.50
306,2002,90.0,90.0,2.0
307,2008,90.0,90.0,1.95
308,2003,120.0,90.0,2.55
309,2009,120.0,90.0,1.80
310,2006,90.0,115.46,2.00
311,2009,90.0,90.0,1.90
312,2002,,,NMR
313,2004,90.0,90.0,1.90
314,2010,120.0,90.0,1.40
315,2004,90.0,96.37,2.6
316,2009,90.0,90.0,2.5
317,2011,90.0,90.0,2.60
318,2009,90.0,90.0,2.2
319,2020,,,3.1
320,2009,90.0,90.0,2.3
321,2008,90.06,90.01,2.6
322,2008,90.0,90.0,3.2
323,2004,120.0,90.0,3.0
324,1998,90.0,95.2,2.7
325,1998,120.0,90.0,2.50
326,2000,120.0,90.0,2.5
327,2000,120.0,90.0,3.10
328,2001,120.0,90.0,2.90
329,2006,90.0,118.86,3.3
330,2014,90.0,90.0,2.30
331,2022,120.0,90.0,3.37
332,2012,90.0,90.0,3.20
333,1999,90.0,90.0,2.4
334,2019,90.0,90.0,2.1
335,2002,90.0,90.0,2.0
336,2003,90.0,90.0,2.5
337,2005,,,NMR Structure
338,2017,90.0,102.21,1.90
339,2018,90.0,132.04,2.30
340,2017,90.0,90.0,1.94
341,2017,90.0,127.52,2.97
342,2017,120.0,90.0,2.83
343,2009,90.0,90.0,2.7
344,2010,90.0,90.0,2.6
345,2005,90.0,90.0,2.0
346,2011,90.0,90.0,3.26
347,2005,90.0,104.57,3.6
348,2007,90.0,130.55,2.77
349,2007,90.0,90.0,2.73
350,2011,90.0,107.65,2.30
351,2014,90.0,101.56,1.90
352,2015,90.0,90.0,2.90
353,2022,90.0,90.0,2.46
354,2008,90.0,128.2,3.2
355,2009,90.0,90.0,3.15
356,2011,90.0,112.13,2.80
357,2013,90.0,90.0,3.80
358,2018,,,4
359,2021,,,7.60
360,2012,90.0,90.0,2.60
361,2013,90.0,90.0,2.64
362,2014,,,NMR strucuture
363,2014,90.0,92.9,3.59
364,2014,90.0,90.0,3.10
365,2020,,,2.94
366,2020,,,3.38
367,2020,,,3.40
368,2016,90.0,90.71,3.2
369,2018,90.0,90.0,2.2
370,2013,90.0,90.0,2.40
371,2019,90.0,90.0,2
372,2020,90.0,90.0,2.96
373,2019,90.0,90.0,2.12
374,2022,90.0,90.0,2.57
375,2019,90.0,90.0,1.85
376,2015,90.0,90.0,3.20
377,2014,120.0,90.0,3.29
378,2020,,,3.46
379,2022,90.0,90.0,2.00
380,2004,120.0,90.0,2.60
381,2006,90.0,90.0,2.0
382,2007,90.0,103.57,2.7
383,2012,90.0,90.0,2.48
384,2011,90.0,90.0,2.50
385,2014,90.0,90.0,3.00
386,2010,90.0,117.75,2.00
387,2005,120.0,90.0,2.20
388,2010,90.0,90.0,2.50
389,2011,120.0,90.0,2.00
390,2012,90.0,90.0,1.86
391,2000,90.0,90.0,2.90
392,2012,90.0,90.0,2.26
393,1999,90.0,98.34,2.30
394,2012,,,NMR Structure
395,2013,90.0,90.0,2.25
396,2014,90.0,101.44,2.88
397,2011,90.0,90.0,3.00
398,2020,109.94,90.37,2.40
399,2020,90.0,90.0,2.60
400,2022,120.0,90.0,1.40
401,2007,90.0,90.0,3.15
402,2010,90.0,90.0,3.50
403,2010,90.0,90.0,1.97
404,2010,120.0,90.0,2.20
405,2014,90.0,90.0,2.60
406,2021,90.0,107.94,2.50
