,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c,cell_zpdb,citation_journal_volume,Resolution
101,90.0,122.54700000000001,95.12599999999999,139.7793333333333,5.333333333333333,350.0,4.00
102,102.33999999999999,91.71966666666667,96.98933333333333,238.96866666666665,23.333333333333332,27.0,6.20
103,91.98333333333333,103.55633333333333,120.457,91.19066666666667,10.666666666666666,30.0,3.30
104,90.0,29.451,52.196,54.486,2.0,4.0,2.40
105,90.0,29.767,29.767,174.311,4.0,16.0,2.76
106,92.83666666666666,118.73299999999999,128.944,300.90066666666667,8.666666666666666,561.0,11.4
107,100.0,66.24,109.64333333333333,132.60666666666665,6.0,217.0,4
108,91.98333333333333,103.55633333333333,120.457,91.19066666666667,10.666666666666666,29.0,3.45
109,90.0,147.4,147.4,344.68,16.0,571.0,3.6
110,100.0,131.14133333333334,131.93266666666668,154.229,17.333333333333332,11.0,4.20
111,90.0,58.26,58.26,101.72,8.0,295.0,1.65
112,91.98333333333333,103.55633333333333,120.457,91.19066666666667,10.666666666666666,29.0,9.0
113,100.0,70.23899999999999,61.52533333333333,239.03966666666665,8.666666666666666,118.0,9.00
114,100.0,145.18233333333333,184.60533333333333,162.03433333333334,17.333333333333332,12.0,40.0
115,90.0,136.79466666666667,83.21866666666666,147.465,8.0,7.0,8.90
116,90.0,54.17,138.86,202.19,8.0,220.0,2.20
117,110.0,132.38133333333334,158.746,104.24833333333333,15.0,8.0,3.40
118,100.0,148.85333333333335,209.34,187.51,31.333333333333332,13.0,7.60
119,90.0,84.336,166.84766666666667,108.20233333333333,9.333333333333334,9.0,3.44
120,90.0,93.564,93.564,262.158,16.0,10.0,2.65
121,100.0,131.14133333333334,131.93266666666668,154.229,17.333333333333332,11.0,4.10
122,90.0,118.504,87.46366666666667,159.7446666666667,8.0,366.0,3.6
123,100.0,127.64566666666667,153.07000000000002,194.30166666666665,12.666666666666666,179.0,3.31
124,90.0,69.573,77.188,197.793,8.0,71.0,2.8
125,90.0,108.017,135.126,90.974,16.0,11.0,3
126,90.0,142.04,190.434,237.012,96.0,432.0,3.50
127,97.02,46.7,55.04,56.5,6.0,27.0,2.49
128,100.0,89.45166666666667,133.965,151.60833333333332,10.0,40.0,NMR structure
129,100.0,89.45166666666667,133.965,151.60833333333332,10.0,40.0,NMR structure
130,90.0,95.5,97.5,123.7,8.0,65.0,2.90
131,90.0,55.1,98.8,172.9,8.0,222.66666666666666,2.70
132,90.0,78.507,95.041,103.753,8.0,2.0,1.65
133,90.0,129.854,129.854,129.854,24.0,3.0,1.41
134,90.0,47.042,71.062,130.453,4.0,6.0,1.21
135,90.0,151.92,136.76,135.12,28.0,274.0,1.9
136,90.0,151.19,134.8,132.89,28.0,107.0,2.10
137,90.0,102.821,293.877,170.545,56.0,20.0,2.30
138,90.0,150.366,135.044,132.449,28.0,295.0,2.35
139,90.0,206.454,206.141,190.299,32.0,108.0,2.50
140,90.0,197.056,197.05,192.965,16.0,5.0,2.99
141,90.0,39.76,48.53,147.51,4.0,6.0,1.9
142,90.0,193.31,193.16,116.38,16.0,5.0,2.40
143,90.0,135.497,198.558,179.535,16.0,290.0,2.80
144,90.0,130.494,130.494,109.051,8.0,117.0,2.29
145,90.0,123.611,48.732,66.731,4.0,295.0,1.75
146,90.0,62.581,72.199,78.807,4.0,11.0,1.46
147,90.0,139.097,139.097,246.77,32.0,295.0,2.04
148,90.0,313.23,168.04,160.46,56.0,288.0,3.90
149,90.0,46.987,178.292,174.207,8.0,89.0,2.20
150,90.0,178.381,178.381,240.363,32.0,17.0,3.10
151,90.0,150.68433333333334,188.5393333333333,270.25333333333333,29.333333333333332,521.0,2.9
152,90.0,128.14766666666668,149.47766666666666,81.712,13.333333333333334,28.0,3.30
153,100.0,131.14133333333334,131.93266666666668,154.229,17.333333333333332,11.0,3.30
154,90.0,78.64,109.8,141.03,4.0,468.0,2.75
155,110.0,132.38133333333334,158.746,104.24833333333333,15.0,8.0,4.00
156,90.0,95.02066666666667,171.18200000000002,127.83066666666667,10.666666666666666,10.0,3.49
157,100.0,89.45166666666667,133.965,151.60833333333332,10.0,41.0,3.00
158,90.0,172.354,182.859,430.395,56.0,108.0,2.88
159,90.0,81.211,97.321,135.128,4.0,350.0,2.30
160,90.0,46.208,85.343,81.223,2.0,426.0,2.10
161,90.0,72.618,92.434,169.049,8.0,121.66666666666667,2.88
162,90.0,64.844,117.649,150.584,16.0,290.0,1.70
163,90.0,136.79466666666667,83.21866666666666,147.465,8.0,7.0,8
164,90.0,84.336,166.84766666666667,108.20233333333333,9.333333333333334,9.0,3.9
165,90.0,84.336,166.84766666666667,108.20233333333333,9.333333333333334,9.0,5.6
166,100.0,145.18233333333333,184.60533333333333,162.03433333333334,17.333333333333332,12.0,3.54
167,90.0,52.588,149.213,165.827,8.0,9.0,2.2
168,90.0,136.79466666666667,83.21866666666666,147.465,8.0,7.0,3.1
169,90.0,84.465,101.565,175.735,8.0,24.0,2.89
170,90.0,81.894,141.713,106.732,8.0,24.0,2.4
171,90.0,45.24633333333333,76.15133333333333,109.83933333333334,4.0,6.0,4.5
172,90.0,95.02066666666667,171.18200000000002,127.83066666666667,10.666666666666666,10.0,3.2
173,102.33999999999999,91.71966666666667,96.98933333333333,238.96866666666665,23.333333333333332,27.0,2.9
174,90.0,104.23766666666666,81.23100000000001,86.33566666666667,5.333333333333333,117.0,2.8
175,100.0,148.85333333333335,209.34,187.51,31.333333333333332,13.0,2.64
176,90.0,90.15500000000002,129.69766666666666,162.51433333333333,8.0,371.0,NMR structure
177,120.0,92.3,92.3,146.2,9.0,136.33333333333334,1.8
178,120.0,104.3,104.3,124.6,9.0,139.66666666666666,1.96
179,120.0,104.25,104.25,124.93,9.0,139.66666666666666,2.19
180,120.0,104.2,104.2,124.9,9.0,15.0,3.00
181,90.0,191.8,76.8,223.4,12.0,7.0,3.2
182,90.0,55.09,316.09,73.79,12.0,10.0,1.98
183,120.0,107.25,107.25,140.59,9.0,8.0,2.1
184,120.0,106.41,106.41,93.79,6.0,281.0,1.5
185,120.0,118.5,118.5,52.7,6.0,28.333333333333332,2.4
186,120.0,117.9,117.9,52.8,6.0,28.333333333333332,3.00
187,90.0,154.9,154.9,172.2,24.0,231.33333333333334,3.20
188,120.0,118.3,118.3,52.8,6.0,28.333333333333332,3.50
189,120.0,118.5,118.5,52.7,6.0,28.333333333333332,3.00
190,120.0,118.105,118.105,52.565,6.0,40.0,2.20
191,120.0,116.923,116.923,51.346,6.0,27.0,1.6
192,120.0,135.52,135.52,47.52,6.0,48.0,3.40
193,90.0,101.491,101.618,162.142,12.0,107.0,3.01
194,120.0,117.545,117.545,121.287,12.0,396.0,2.61
195,90.0,136.708,210.522,137.042,24.0,19.0,3.79
196,120.0,85.71,85.71,332.941,18.0,178.0,2.80
197,90.0,159.73,115.69,222.854,24.0,1858.0,3.5
198,110.0,109.15633333333334,107.923,176.66333333333333,12.0,18.0,2.54
199,100.0,89.45166666666667,133.965,151.60833333333332,10.0,40.0,4.70
200,90.0,111.57,115.94,216.661,24.0,145.0,2.85
201,90.0,85.185,139.335,150.772,12.0,178.0,2.79
202,90.0,137.548,187.253,122.957,24.0,4.0,2.3
203,120.0,77.312,77.312,114.044,6.0,4.0,1.5
204,90.0,200.779,99.391,74.328,12.0,362.0,2.0
205,120.0,120.4,120.4,158.1,12.0,6.0,2.50
206,110.0,109.15633333333334,107.923,176.66333333333333,12.0,18.0,2.56
207,90.0,232.316,74.511,90.814,12.0,4.0,1.65
208,120.0,125.098,125.098,126.542,12.0,140.66666666666666,2.47
209,90.0,109.749,123.26,116.01,12.0,113.0,1.45
210,90.0,98.64,70.142,59.501,4.0,360.0,2.3
211,74.3,70.6,77.0,103.9,4.0,25.0,2.3
212,90.0,55.61,70.96,119.17,4.0,401.0,2.18
213,90.02,76.05933333333333,120.142,99.81633333333333,6.0,104.0,NMR Structure (DPC micelles)
214,110.0,132.38133333333334,158.746,104.24833333333333,15.0,8.0,solid-state NMR structure
215,100.0,81.437,105.58699999999999,97.16233333333332,10.666666666666666,4.0,NMR Structure
216,90.0,144.61,74.33,62.31,4.0,26.0,3.2
217,90.0,129.88,153.47,81.01,12.0,74.0,2.22
218,90.0,62.723,153.84,66.17,6.0,26.0,1.55
219,120.0,119.9,119.9,51.9,6.0,28.333333333333332,3.0
220,90.0,124.5,211.8,184.3,24.0,266.0,2.4
221,90.0,131.89,214.79,220.19,24.0,145.66666666666666,3.1
222,90.0,129.8,211.7,218.2,24.0,145.66666666666666,2.6
223,90.0,129.66,211.51,217.91,24.0,145.66666666666666,2.4
224,120.0,111.8,111.8,147.8,9.0,9.666666666666666,2.4
225,90.0,113.86,113.86,229.3,32.0,303.0,2.5
226,120.0,88.343,88.343,177.706,6.0,287.0,2.70
227,120.0,86.971,86.971,158.5,9.0,109.0,1.52
228,90.0,255.13,142.769,62.025,12.0,14.0,1.9
229,120.0,83.052,83.052,106.371,6.0,107.0,2.30
230,120.0,148.291,148.291,104.045,18.0,185.0,3.32
231,120.0,84.396,84.396,107.11,6.0,1863.0,2.76
232,90.0,114.05,111.47,88.34,12.0,449.0,3.20
233,90.0,36.856,59.674,51.564,2.0,70.0,2.10
234,90.0,42.594,105.226,111.815,4.0,112.0,2.51
235,90.0,101.051,120.309,131.396,16.0,5.0,2.30
236,100.0,79.19866666666667,97.36433333333333,340.50533333333334,18.666666666666668,23.0,NMR structure
237,120.0,90.63,90.63,104.4,6.0,428.0,2.1
238,90.0,151.52,142.02,113.32,12.0,34.0,3.2
239,90.0,146.884,123.379,147.026,12.0,9.0,1.95
240,90.0,143.26,124.731,80.359,12.0,8.0,2.5
241,90.0,107.847,108.382,216.202,24.0,27.0,2.2
242,90.0,212.042,234.165,99.192,8.0,181.0,2.70
243,90.0,111.37,97.525,95.788,8.0,14.0,2.9
244,90.0,136.408,103.892,47.544,4.0,10.0,2.15
245,62.95,93.353,102.828,101.696,4.0,10.0,2.80
246,90.0,99.93,159.828,82.064,8.0,10.0,2.70
247,90.0,81.889,96.697,121.411,8.0,16.0,2.8
248,90.0,82.142,96.84,121.557,8.0,10.0,1.65
249,90.0,46.321,206.899,51.581,4.0,10.0,2.30
250,90.0,148.919,78.769,50.497,4.0,10.0,1.45
251,90.0,91.227,115.032,100.632,8.0,10.0,2.10
252,90.0,86.106,123.989,114.349,8.0,10.0,2.60
253,70.04,64.722,78.464,97.519,3.0,10.0,2.35
254,90.0,62.103,210.624,84.066,8.0,78.0,2.60
255,120.0,134.073,134.073,54.41,6.0,24.0,2.05
256,120.0,150.169,150.169,105.224,12.0,24.0,2.9
257,90.0,81.563,125.717,137.459,8.0,24.0,1.75
258,90.0,170.303,90.555,101.668,8.0,24.0,2.2
259,120.0,265.049,265.049,95.959,27.0,121.33333333333333,2.1
260,120.0,265.276,265.276,96.253,27.0,342.0,2.75
261,90.0,128.284,136.176,136.133,12.0,30.0,3.2
262,100.0,131.14133333333334,131.93266666666668,154.229,17.333333333333332,11.0,3.09
263,100.0,145.18233333333333,184.60533333333333,162.03433333333334,17.333333333333332,12.0,3.20
264,90.0,91.827,146.324,418.866,24.0,23.0,2.37
265,120.0,71.458,71.458,190.702,6.0,280.0,1.8
266,120.0,85.43,85.43,1044.3,36.0,279.0,2.56
267,90.0,73.9,70.2,344.5,12.0,18.0,2.40
268,120.0,76.501,76.501,191.833,6.0,84.0,1.69
269,90.0,86.329,92.388,252.765,12.0,84.0,3.10
270,90.0,246.847,246.847,65.676,24.0,5.0,2.98
271,120.0,89.03,89.03,473.037,18.0,6.0,2.30
272,120.0,89.026,89.026,474.103,18.0,426.0,2.09
273,120.0,81.59,81.59,210.078,6.0,154.33333333333334,2.0
274,90.0,76.933,80.098,233.595,4.0,10.0,2.75
275,90.0,72.61,80.877,118.681,4.0,364.0,1.95
276,90.0,74.34,82.439,122.632,4.0,166.0,2.1
277,90.0,76.231,80.685,235.916,4.0,282.0,3.50
278,120.0,81.29,81.29,226.562,6.0,99.0,2.44
