,PCA_1,PCA_2
142,1.9344827,15.529256
398,-38.07057,-13.668177
342,-28.709867,-14.305499
221,-1.3882552,21.06111
95,0.7278054,9.520928
51,-13.238951,-8.975183
240,8.007305,11.410801
484,-17.50256,5.904758
378,-15.285364,1.4909408
178,-35.493523,-9.467621
41,-0.47804072,6.6766057
498,13.88089,10.364481
421,21.049238,5.7682667
206,-27.227453,-5.9059057
282,-27.290255,-1.0915877
254,19.860561,12.892481
412,-35.2355,-6.429355
4,0.38870552,24.830452
256,-35.866917,-2.673018
448,-14.535311,1.952261
100,12.609365,-10.96694
226,-34.34156,-13.685788
429,9.710015,1.018937
213,12.906064,-2.6186984
171,14.204706,-14.718912
98,-35.063698,-0.23663826
292,7.7878847,-18.896986
215,-13.269051,-4.887154
61,4.053335,14.46156
47,4.046047,12.213904
32,-28.074047,-13.982635
267,4.682073,-7.0523577
327,-36.456367,-0.8889228
200,-0.14338222,4.258856
446,-2.748935,-11.974059
27,9.456412,18.54509
424,9.272025,-18.484594
230,-34.41613,-2.123871
260,-34.392017,3.0730674
288,1.3836025,5.399917
162,6.8281856,-11.642659
425,4.6167707,-13.058554
138,-1.6517452,10.687814
62,10.954761,-7.615776
135,-1.5829773,10.731837
128,-14.498701,-3.3685637
476,5.619417,7.97342
8,-36.08838,0.77726907
326,-35.95621,-0.7955643
463,12.837569,4.3304086
64,10.6850815,-12.810885
300,4.97292,13.963927
14,15.903086,-5.3284883
156,15.884741,10.9268875
40,5.68583,1.5325838
379,12.362119,-11.940849
468,-35.414642,-11.09644
403,-3.744661,12.961946
216,12.312898,5.757939
279,9.289504,6.021803
434,18.152536,3.5824175
430,5.5675282,-16.105846
337,6.6977177,8.441346
236,-16.328074,-7.867403
207,9.4597,17.817148
212,6.4576483,-16.896091
295,-31.908985,-13.388123
457,-34.340862,-14.438141
251,11.026423,-1.438017
488,-13.269051,-4.887154
486,1.9858475,0.96523565
303,-35.686615,-16.710749
350,10.917595,14.261231
269,5.780941,-5.5810823
201,17.480103,4.8121347
161,10.120129,-9.023543
43,-0.47804072,6.6766057
217,8.780433,10.007564
401,7.989049,4.154996
190,-37.116673,-7.0222354
309,-34.910076,-15.203103
259,-34.400105,3.0437586
105,14.141466,-18.178822
53,2.2677538,2.9563377
389,-36.756344,-9.285027
1,-1.1424586,24.411297
441,-2.2989333,-12.231425
482,3.238177,13.953613
49,4.1425548,12.899012
419,5.2174406,-12.320417
80,-5.0289445,3.6062973
205,-34.029083,-6.7894487
34,0.86127174,19.001562
263,-18.14263,5.4488516
427,-36.97124,-8.486424
366,-18.504538,0.12780036
91,-37.171,-4.8110847
339,7.3477273,13.818507
473,-15.907397,8.326523
52,1.9725318,2.7615952
345,10.855874,-9.505173
264,-2.0400217,1.5976387
241,-0.13218127,3.498039
13,8.647281,15.473139
315,19.36165,-5.7711706
88,14.639643,-10.574168
387,-29.238728,-14.953655
273,-33.275875,-12.986162
166,-16.685776,5.60886
328,-36.518505,-0.2490424
492,-17.599543,1.2833853
134,13.7521515,-15.174718
306,16.766665,-9.260176
480,-17.110697,6.438327
319,-5.9338107,4.2309275
243,9.71888,-0.08295716
54,2.555503,2.599217
363,-6.366126,16.524464
50,1.325609,22.28417
456,17.03243,-8.519942
174,15.882323,-6.4102116
445,0.19724375,-2.069186
189,-36.1809,-6.0769424
496,-4.3796425,14.30713
187,-0.9359527,11.370576
169,9.367192,-5.328754
58,-3.4128742,22.10067
48,3.5887191,12.619356
344,12.120676,-3.4260373
235,5.312764,1.2575568
252,11.895991,-1.3455634
21,0.92796105,2.098936
313,13.408509,-16.657888
459,-2.574566,-11.544572
160,5.9209085,-17.510483
276,11.778017,-10.390487
443,-13.3409,-0.9487861
191,-36.433445,-7.022416
385,10.650911,-14.358706
293,13.045866,-16.191282
413,19.646362,-8.240156
343,-5.6847234,11.147327
257,12.184863,-1.856806
308,-32.360977,-14.280155
149,20.827034,9.735769
130,9.952348,-3.2753298
151,-4.6688523,19.892778
359,-16.64797,6.1912184
99,15.17754,-7.172268
372,10.90706,-4.4183035
87,21.924536,-14.060185
458,-15.671362,1.8004316
330,3.8520515,24.465994
214,-27.290255,-1.0915877
466,23.342524,-4.4487453
121,-18.073423,-0.32335797
499,-17.296223,0.27805623
20,-33.166016,-0.8757807
188,-36.867416,-6.372337
71,19.940714,-1.6318911
106,-1.882968,-12.049565
270,-0.5459258,16.055344
348,8.191115,15.548766
435,10.787678,18.925629
102,-16.873318,-6.9283047
