,cell_length_c,cell_length_b,cell_length_a,Resolution
0,1.4708067075524298,1.942517997416907,-0.2698646934838021,3.5
1,1.5034009520950382,1.9310839376396425,-0.26490216785016824,3.4
2,1.4708067075524298,1.942517997416907,-0.2698646934838021,3.1
3,1.2797015053394523,1.8210882825823578,-0.2917581889263061,2.61
4,1.2800446026504269,1.8775725378820445,-0.2853360969298383,3.2
5,1.3078183299738388,1.7952244393661856,-0.30644142653641215,2.00
6,1.2727194750611144,1.856762549087423,-0.28355542596718153,2.00
7,-0.7682634987348289,1.2932234789051644,2.1386241444824385,3.05
8,-0.7541621992537635,1.2862029662019236,2.1296624070146395,3.35
9,-0.7569241326071109,1.297865707174734,2.144549983915543,3.36
10,-0.4498520392846422,0.19585102584197958,2.092881334671233,3.0
11,-0.22208688939400437,-0.1130057968614891,3.098668515299868,2.22
12,-0.16808337264656695,-0.5306691324054071,-0.18958854352795398,1.70
13,-0.9034266843933612,0.005588271148298263,2.214317256058989,2.60
14,-1.6719646609769698,-0.7170443067748188,-0.4012256661388263,1.40
15,-1.4669640176695118,0.275432081891741,0.12129909175560306,2.60
16,0.499669768838187,-1.0824082528975292,-1.141109046786436,3.20
17,-0.7284470557962002,1.0296684010392172,-0.12504651896345212,1.85
18,-0.19321525067547296,1.681821434495276,2.6346723685550666,2.40
19,-1.2104987777158298,1.7730652315178463,-1.5609970980464067,2.39
20,1.987494103014968,0.696068272977748,1.3763510158289614,2.63
21,2.2101814127031782,-0.14945757943140855,0.29703088184076865,2.0
22,-1.0320881760089207,2.262671671180313,0.8802736004290767,3.0
23,-1.0532572800960676,2.2092517439009334,0.633314971837631,1.70
24,1.8952180812282884,0.736453372111046,1.427902899764244,3.20
25,-1.1328043916455808,-0.36032450984372044,1.0172684992446381,3.00
26,-1.5952309473774504,2.1347474103922774,0.7770238759222274,2.20
27,-0.18709096367457234,-1.4232118386186752,4.456561485298483,2.85
28,-0.0025217652356648176,3.3539154682028838,1.122765955950251,2.8
29,-1.643573358493803,-0.3771783139554085,-1.7429466408372438,1.65
30,3.727426341296051,-1.167866415672804,-1.002975686207864,2.90
31,-0.26519706651799124,-0.5525996590582005,-0.21758302636710256,2.30
32,5.091684178925249,-0.6919122433843913,-0.3954165920147486,2.65
33,3.213569498649055,1.2301760732933278,2.0581436552357935,2.88
34,-1.348526825921002,1.418563642183538,-0.010237028862961182,2.21
35,1.1149804863404387,0.19473048798380815,0.7363895483809401,2.00
36,-0.5325384912295752,-1.5050568385043346,-1.8317174670247833,1.94
37,-1.0319166273534335,0.4567762699591563,-1.4559083199223875,1.99
38,-1.1369044045117298,-0.7405984699159837,-0.7979358035569996,3.67
39,5.053531757944849,-0.999236902077707,-0.7877188390171644,2.75
40,-0.6658661062743921,-0.2016426282548437,0.01238624976095982,2.26
41,0.48354419522237024,0.6552715476924678,0.062332610697125646,2.0
42,0.48354419522237024,0.6552715476924678,0.062332610697125646,2.0
43,0.48354419522237024,0.6552715476924678,0.062332610697125646,2.0
44,0.48354419522237024,0.6552715476924678,0.062332610697125646,2.0
45,6.939057340138097,-0.13642275128532683,0.31366993837707197,2.59
46,-0.32297465368615175,0.6624064009934811,1.3333813821071399,2.5
47,-0.32297465368615175,0.6624064009934811,1.3333813821071399,2.5
48,-0.32297465368615175,0.6624064009934811,1.3333813821071399,2.5
49,-0.32297465368615175,0.6624064009934811,1.3333813821071399,2.5
50,-0.10368400737659239,2.5745470856649795,0.8141844355199709,3.6
51,0.039961217592070546,0.0,0.0,2.90
52,0.7794827808037054,-0.2574637080874491,0.15022769706696504,1.75
53,0.7794827808037054,-0.2574637080874491,0.15022769706696504,1.75
54,0.7794827808037054,-0.2574637080874491,0.15022769706696504,1.75
55,0.7794827808037054,-0.2574637080874491,0.15022769706696504,1.75
56,0.47627053222970384,0.5912179448202323,-0.3911254669080181,1.90
57,-1.3271518634472705,0.9193983285472782,0.21821429824775446,2.70
58,-0.602358794012952,2.4066950881347373,0.7086577874871012,2.39
59,-0.28766994038684235,-0.24877382265672784,-1.0466167204565888,2.50
60,-0.07038641334648556,0.10344095472212787,0.42950112493154674,2.2
61,-1.145516147017198,1.0669434359130994,1.4081111798842203,2.60
62,-0.004700433160355122,-1.041382846416704,-0.9108186660585504,1.90
63,-0.9560063473002531,1.986218973885612,-0.8488746696198923,2.8
64,-0.7436805764034825,-0.5728608129835131,-1.5713016365680121,2.1
65,-1.4510099927091824,3.7543591097222406,-1.335348138352332,2.16
66,0.039961217592070546,0.0,0.0,3.28
67,-0.05649097225200509,-1.8188303069120273,0.6963682387120425,2.00
68,0.08273791654157925,-1.3246731114582093,-1.2304636995191094,2.30
69,-1.3000471758802592,0.038289682111274925,-1.3727130372408722,2.3
70,-1.1484667838915814,-1.6091525187165505,-0.7392904270983454,1.05
71,-0.8262297894240255,-0.27797641132786144,0.05999730451659193,1.9
72,0.880250461037012,-0.295333314069749,0.11081940527045796,2.40
73,1.905957027061801,-1.2748206108293363,-1.1395035237873192,2.47
74,-1.157455933439122,-1.4130355254169096,-1.48763929265039,2.05
75,-0.8012008405884119,0.6432657849263406,-0.4225061437089402,2.55
76,-0.8012008405884119,0.6432657849263406,-0.4225061437089402,2.55
77,-0.8012008405884119,0.6432657849263406,-0.4225061437089402,2.55
78,-0.8012008405884119,0.6432657849263406,-0.4225061437089402,2.55
79,1.0275764463696018,0.1305854126333541,-0.6090971075335883,2.37
80,1.0275764463696018,0.1305854126333541,-0.6090971075335883,2.37
81,1.0275764463696018,0.1305854126333541,-0.6090971075335883,2.37
